2020-12-14 17:03:56.092 [main] INFO  com.demo.oauth2.OauthWebApplication - Starting OauthWebApplication on LAPTOP-P107BEH5 with PID 21784 (D:\java\program\oauth-project\oauth-web\target\classes started by li in D:\java\program\oauth-project)
2020-12-14 17:03:56.094 [main] INFO  com.demo.oauth2.OauthWebApplication - No active profile set, falling back to default profiles: default
2020-12-14 17:03:56.882 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-12-14 17:03:56.892 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-12-14 17:03:56.893 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-14 17:03:56.894 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.34]
2020-12-14 17:03:56.895 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2020-12-14 17:03:56.896 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-12-14 17:03:56.896 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-12-14 17:03:56.899 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-12-14 17:03:56.986 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-14 17:03:56.987 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 853 ms
2020-12-14 17:03:57.138 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-14 17:03:57.252 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2020-12-14 17:03:57.270 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2020-12-14 17:03:57.273 [main] INFO  com.demo.oauth2.OauthWebApplication - Started OauthWebApplication in 1.745 seconds (JVM running for 2.595)
2020-12-14 17:06:59.575 [main] INFO  com.demo.oauth2.OauthWebApplication - Starting OauthWebApplication on LAPTOP-P107BEH5 with PID 22776 (D:\java\program\oauth-project\oauth-web\target\classes started by li in D:\java\program\oauth-project)
2020-12-14 17:06:59.579 [main] INFO  com.demo.oauth2.OauthWebApplication - No active profile set, falling back to default profiles: default
